videoMeta.duration_segment,shareCount,likeCount,commentCount,playCount,shareRate,likeRate,commentRate,numVideos,date
<= 15,2213.2741194486985,121396.0382848392,1613.3813169984687,1293347.1424196018,0.0020104863312065215,0.09307399303212928,0.0023894884397051407,653,653
> 15 and <= 30,1533.75,55371.927083333336,715.0833333333334,652285.9739583334,0.002470153098969095,0.10289487425474685,0.002025915240956374,192,192
> 30 and <= 45,1222.909090909091,64967.0,474.04545454545456,618921.9090909091,0.002566112796825878,0.11757888906626414,0.0028472891726925424,66,66
> 45 and <= 60,953.943820224719,29292.52808988764,555.2134831460675,208646.04494382022,0.0028608138076361878,0.12526550379837365,0.003498596211443439,89,89
