durationSeg,authorMeta.verified,shareCount,likeCount,commentCount,playCount,shareRate,likeRate,commentRate
<= 15,False,1454.4595508348402,50203.527534112414,451.2500306005968,617354.9274635509,0.0018805775580548153,0.08607299611320048,0.0020296262393814973
<= 15,True,7961.639999999999,851557.4066666666,12612.476666666666,9251460.666666668,0.0007880181603745432,0.101263599201287,0.0015984444796959027
> 15 and <= 30,False,1422.9130454592994,49779.62310758042,658.599955485118,581674.3125329191,0.0027829738305596833,0.10673101752668197,0.002035737699985561
> 15 and <= 30,True,1128.5714285714287,161492.85714285713,1069.0714285714287,1176607.142857143,0.0014403423329865245,0.13206163407703614,0.0008655515077960536
> 30 and <= 45,False,337.68801020408165,18782.377295918366,262.1831632653061,138505.4823129252,0.002469466908148847,0.11860652548557639,0.003003397810607639
> 30 and <= 45,True,20262.0,1082700.0,5430.0,10873733.333333334,0.0022134095900665234,0.1265856804743474,0.0008407880574306942
> 45 and <= 60,False,458.0479853479854,20550.65332112332,449.6842002442002,168194.8774114774,0.00228270111205748,0.12219510264301119,0.003389392690108544
> 45 and <= 60,True,322.66666666666663,163663.16666666666,1553.6666666666667,1004933.3333333334,0.0007959897720368975,0.1341294912044365,0.0015658949713312968
