durationSeg,authorMeta.verified,shareCount,likeCount,commentCount,playCount,shareRate,likeRate,commentRate,count
<= 15,False,1650.8678629690048,55920.541598694945,510.15823817292005,680211.5562805872,0.002070643294520344,0.09149241605675922,0.0024120469288166388,613
<= 15,True,10832.15,1124808.025,18520.275,10689650.0,0.0010885808684221866,0.11731166017967523,0.002043779594071436,40
> 15 and <= 30,False,1547.360655737705,50844.86338797814,697.5737704918033,631596.7595628415,0.002504912712799869,0.10150703888862483,0.0020749794743608885,183
> 15 and <= 30,True,1257.0,147422.22222222222,1071.111111111111,1072966.6666666667,0.0017633742844100392,0.13111419336589436,0.0010282758283979105,9
> 30 and <= 45,False,316.2857142857143,16503.52380952381,238.04761904761904,130597.55555555556,0.0025829081876239425,0.11714999423730779,0.0029428368448478686,63
> 30 and <= 45,True,20262.0,1082700.0,5430.0,10873733.333333334,0.0022134095900665234,0.1265856804743474,0.0008407880574306942,3
> 45 and <= 60,False,984.9294117647058,26165.36470588235,533.7176470588236,189881.15294117646,0.0029441809310151554,0.12560741963066369,0.003587172858711509,85
> 45 and <= 60,True,295.5,95744.75,1012.0,607400.0,0.001089262435833124,0.11799979236221034,0.0016163424569969453,4
